date,BANK,IT,FMCG,AUTO,PHARMA,FIN_SVC,METAL,ENERGY,REALTY,INFRA,MEDIA,PSU_BANK,PVT_BANK
2015-01-01,18750.23046875,11215.7001953125,20057.599609375,8318.7998046875,10923.25,7449.9501953125,2693.25,8630.9501953125,203.0500030517578,3064.699951171875,2378.300048828125,4294.64990234375,
2015-01-02,19057.580078125,11372.099609375,20142.650390625,8365.400390625,10955.599609375,7611.7001953125,2715.449951171875,8668.650390625,205.10000610351562,3107.10009765625,2382.10009765625,4311.64990234375,
2015-01-05,19017.1796875,11248.5498046875,20184.849609375,8467.9501953125,10920.599609375,7575.25,2704.5,8651.5,205.25,3102.300048828125,2376.300048828125,4281.14990234375,
2015-01-06,18430.53515625,10959.900390625,19863.349609375,8248.2001953125,10637.7998046875,7309.5498046875,2610.449951171875,8304.0,198.0500030517578,3013.25,2294.699951171875,4104.60009765625,
2015-01-07,18304.037109375,10916.0,19841.099609375,8254.7001953125,10604.9501953125,7263.7998046875,2568.64990234375,8404.900390625,197.39999389648438,3006.35009765625,2275.699951171875,4091.60009765625,
2015-01-08,18701.18359375,11018.150390625,20244.150390625,8397.2998046875,10737.599609375,7424.89990234375,2609.25,8450.5,203.5,3052.60009765625,2285.699951171875,4164.75,
2015-01-09,18637.033203125,11399.650390625,20286.650390625,8397.0,10934.5498046875,7391.60009765625,2599.10009765625,8548.400390625,199.9499969482422,3022.949951171875,2276.64990234375,4138.7001953125,
2015-01-12,18795.630859375,11543.650390625,20517.80078125,8409.5498046875,10976.2001953125,7438.64990234375,2555.199951171875,8463.7001953125,200.1999969482422,3038.85009765625,2297.550048828125,4201.14990234375,
2015-01-13,18706.982421875,11502.7998046875,20603.0,8398.7998046875,10984.2998046875,7401.60009765625,2546.75,8374.7998046875,196.75,3010.449951171875,2293.89990234375,4170.4501953125,
2015-01-14,18603.583984375,11614.2998046875,20455.80078125,8427.7001953125,10881.5498046875,7364.4501953125,2457.89990234375,8335.0,195.1999969482422,3019.449951171875,2275.89990234375,4141.35009765625,
2015-01-15,19235.427734375,11669.849609375,20770.0,8614.7001953125,10936.2998046875,7697.10009765625,2483.14990234375,8542.25,211.4499969482422,3097.14990234375,2310.64990234375,4327.0,
2015-01-16,19222.927734375,11659.599609375,20969.599609375,8623.599609375,11101.150390625,7697.2998046875,2496.199951171875,8589.400390625,212.35000610351562,3122.10009765625,2403.75,4261.0,
2015-01-19,19405.826171875,11642.75,20728.400390625,8694.900390625,11249.2998046875,7731.85009765625,2504.800048828125,8655.650390625,212.75,3160.39990234375,2397.85009765625,4254.10009765625,
2015-01-20,19766.8203125,11695.0,21091.150390625,8760.900390625,11290.650390625,7921.89990234375,2581.550048828125,8763.349609375,215.6999969482422,3179.050048828125,2425.300048828125,4302.4501953125,
2015-01-21,19843.01953125,11813.7001953125,20673.900390625,8779.9501953125,11320.849609375,7976.7001953125,2564.60009765625,8766.4501953125,215.0500030517578,3219.0,2394.050048828125,4407.7998046875,
