sector,statistic,pvalue,stationary,differenced
BANK,-10.788169008677757,2.16718813303054e-19,True,False
IT,-9.226252332967931,1.726003169527238e-15,True,False
FMCG,-13.550790954096932,2.4116979984915445e-25,True,False
AUTO,-31.355641689414885,0.0,True,False
PHARMA,-31.28965291591415,0.0,True,False
FIN_SVC,-12.71407756387924,1.0153789144247228e-23,True,False
METAL,-16.79605430919287,1.2309975740531899e-29,True,False
ENERGY,-13.380217773393037,4.99505438285015e-25,True,False
REALTY,-43.30821696393156,0.0,True,False
INFRA,-12.327203146646383,6.548488369755425e-23,True,False
MEDIA,-46.3229791950528,0.0,True,False
PSU_BANK,-16.98989283302696,8.884977975806122e-30,True,False
PVT_BANK,-10.914775208703587,1.0744114905658693e-19,True,False
